Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_list,clean_Ingredients
19-24,Oily,Extreme Oily,No,Wrinkles,General,peptides + hyaluronic acid + niacinamide,8% + 2% + 5%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Reduces inflammation and regulates sebum",['peptides  hyaluronic acid  niacinamide'],peptides  hyaluronic acid  niacinamide
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,benzoyl peroxide + salicylic acid + zinc pca,8% + 3% + 2%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Controls sebum production",['benzoyl peroxide  salicylic acid  zinc pca'],benzoyl peroxide  salicylic acid  zinc pca
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,azelaic acid + benzoyl peroxide + zinc pca,1% + 2% + 0.5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production",['azelaic acid  benzoyl peroxide  zinc pca'],azelaic acid  benzoyl peroxide  zinc pca
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Nodular,zinc pca + green tea extract + salicylic acid,8% + 1% + 0.5%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil",['zinc pca  green tea extract  salicylic acid'],zinc pca  green tea extract  salicylic acid
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cystic,salicylic acid + green tea extract + zinc pca,3% + 8% + 5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Controls sebum production",['salicylic acid  green tea extract  zinc pca'],salicylic acid  green tea extract  zinc pca
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Pigmented,hyaluronic acid + vitamin k + vitamin c,0.5% + 8% + 10%,"Hydrates and plumps the skin, Improves blood circulation under eyes, Brightens skin and reduces pigmentation",['hyaluronic acid  vitamin k  vitamin c'],hyaluronic acid  vitamin k  vitamin c
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Vascular,caffeine + niacinamide + vitamin k,10% + 3% + 5%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Improves blood circulation under eyes",['caffeine  niacinamide  vitamin k'],caffeine  niacinamide  vitamin k
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Spots,General,kojic acid + vitamin c + licorice extract,1% + 3% + 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone",['kojic acid  vitamin c  licorice extract'],kojic acid  vitamin c  licorice extract
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dullness,General,green tea extract + niacinamide + vitamin c,0.5% + 1% + 5%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['green tea extract  niacinamide  vitamin c'],green tea extract  niacinamide  vitamin c
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Hyperpigmentation,General,vitamin c + niacinamide + tranexamic acid,5% + 0.5% + 10%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation",['vitamin c  niacinamide  tranexamic acid'],vitamin c  niacinamide  tranexamic acid
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Open Pores,General,azelaic acid + green tea extract + clay,3% + 5% + 8%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores",['azelaic acid  green tea extract  clay'],azelaic acid  green tea extract  clay
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Redness,General,centella asiatica + aloe vera + green tea extract,0.5% + 8% + 1%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits",['centella asiatica  aloe vera  green tea extract'],centella asiatica  aloe vera  green tea extract
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Sun Tan,General,aloe vera + niacinamide + alpha arbutin,2% + 5% + 1%,"Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots",['aloe vera  niacinamide  alpha arbutin'],aloe vera  niacinamide  alpha arbutin
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Whiteheads / Blackheads,General,willow bark extract + salicylic acid + niacinamide,2% + 3% + 0.5%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['willow bark extract  salicylic acid  niacinamide'],willow bark extract  salicylic acid  niacinamide
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Wrinkles,General,coenzyme q10 + niacinamide + peptides,5% + 2% + 1%,"Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness",['coenzyme q  niacinamide  peptides'],coenzyme q  niacinamide  peptides
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,benzoyl peroxide + zinc pca + salicylic acid,2% + 10% + 0.5%,"Kills acne-causing bacteria, Controls sebum production, Unclogs pores and removes excess oil",['benzoyl peroxide  zinc pca  salicylic acid'],benzoyl peroxide  zinc pca  salicylic acid
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,azelaic acid + benzoyl peroxide + zinc pca,3% + 8% + 0.5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production",['azelaic acid  benzoyl peroxide  zinc pca'],azelaic acid  benzoyl peroxide  zinc pca
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Nodular,niacinamide + zinc pca + green tea extract,2% + 3% + 1%,"Reduces inflammation and regulates sebum, Controls sebum production, Provides antioxidant and anti-inflammatory benefits",['niacinamide  zinc pca  green tea extract'],niacinamide  zinc pca  green tea extract
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cystic,zinc pca + benzoyl peroxide + salicylic acid,0.5% + 10% + 1%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil",['zinc pca  benzoyl peroxide  salicylic acid'],zinc pca  benzoyl peroxide  salicylic acid
19-24,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Pigmented,vitamin c + hyaluronic acid + vitamin k,10% + 0.5% + 3%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes",['vitamin c  hyaluronic acid  vitamin k'],vitamin c  hyaluronic acid  vitamin k
19-24,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Vascular,caffeine + niacinamide + vitamin c,5% + 10% + 0.5%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['caffeine  niacinamide  vitamin c'],caffeine  niacinamide  vitamin c
19-24,Combination,T-Zone Oily Cheeks Dry,No,Dark Spots,General,niacinamide + kojic acid + licorice extract,3% + 8% + 0.5%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone",['niacinamide  kojic acid  licorice extract'],niacinamide  kojic acid  licorice extract
19-24,Combination,T-Zone Oily Cheeks Dry,No,Dullness,General,lactic acid + hyaluronic acid + vitamin c,1% + 3% + 10%,"Gently exfoliates and improves skin radiance, Hydrates and plumps the skin, Brightens skin and reduces pigmentation",['lactic acid  hyaluronic acid  vitamin c'],lactic acid  hyaluronic acid  vitamin c
19-24,Combination,T-Zone Oily Cheeks Dry,No,Hyperpigmentation,General,tranexamic acid + licorice extract + vitamin c,8% + 5% + 0.5%,"Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation",['tranexamic acid  licorice extract  vitamin c'],tranexamic acid  licorice extract  vitamin c
19-24,Combination,T-Zone Oily Cheeks Dry,No,Open Pores,General,clay + green tea extract + niacinamide,3% + 5% + 8%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['clay  green tea extract  niacinamide'],clay  green tea extract  niacinamide
19-24,Combination,T-Zone Oily Cheeks Dry,No,Redness,General,centella asiatica + niacinamide + aloe vera,1% + 8% + 3%,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin",['centella asiatica  niacinamide  aloe vera'],centella asiatica  niacinamide  aloe vera
19-24,Combination,T-Zone Oily Cheeks Dry,No,Sun Tan,General,aloe vera + niacinamide + licorice extract,1% + 0.5% + 8%,"Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['aloe vera  niacinamide  licorice extract'],aloe vera  niacinamide  licorice extract
19-24,Combination,T-Zone Oily Cheeks Dry,No,Whiteheads / Blackheads,General,willow bark extract + salicylic acid + glycolic acid,1% + 3% + 0.5%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin",['willow bark extract  salicylic acid  glycolic acid'],willow bark extract  salicylic acid  glycolic acid
19-24,Combination,T-Zone Oily Cheeks Dry,No,Wrinkles,General,niacinamide + hyaluronic acid + coenzyme q10,10% + 1% + 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair",['niacinamide  hyaluronic acid  coenzyme q'],niacinamide  hyaluronic acid  coenzyme q
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,salicylic acid + niacinamide + benzoyl peroxide,0.5% + 8% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria",['salicylic acid  niacinamide  benzoyl peroxide'],salicylic acid  niacinamide  benzoyl peroxide
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,benzoyl peroxide + niacinamide + zinc pca,0.5% + 5% + 3%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production",['benzoyl peroxide  niacinamide  zinc pca'],benzoyl peroxide  niacinamide  zinc pca
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Nodular,niacinamide + benzoyl peroxide + green tea extract,0.5% + 8% + 2%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits",['niacinamide  benzoyl peroxide  green tea extract'],niacinamide  benzoyl peroxide  green tea extract
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cystic,zinc pca + salicylic acid + green tea extract,5% + 8% + 2%,"Controls sebum production, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits",['zinc pca  salicylic acid  green tea extract'],zinc pca  salicylic acid  green tea extract
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Pigmented,vitamin k + hyaluronic acid + licorice extract,8% + 0.5% + 2%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Lightens dark spots and evens skin tone",['vitamin k  hyaluronic acid  licorice extract'],vitamin k  hyaluronic acid  licorice extract
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Vascular,vitamin c + licorice extract + niacinamide,8% + 3% + 1%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum",['vitamin c  licorice extract  niacinamide'],vitamin c  licorice extract  niacinamide
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Spots,General,niacinamide + licorice extract + vitamin c,2% + 3% + 8%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation",['niacinamide  licorice extract  vitamin c'],niacinamide  licorice extract  vitamin c
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Dullness,General,hyaluronic acid + niacinamide + lactic acid,3% + 2% + 8%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance",['hyaluronic acid  niacinamide  lactic acid'],hyaluronic acid  niacinamide  lactic acid
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Hyperpigmentation,General,vitamin c + niacinamide + tranexamic acid,0.5% + 5% + 8%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation",['vitamin c  niacinamide  tranexamic acid'],vitamin c  niacinamide  tranexamic acid
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Open Pores,General,green tea extract + salicylic acid + niacinamide,10% + 8% + 1%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['green tea extract  salicylic acid  niacinamide'],green tea extract  salicylic acid  niacinamide
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Redness,General,aloe vera + chamomile extract + niacinamide,2% + 8% + 5%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum",['aloe vera  chamomile extract  niacinamide'],aloe vera  chamomile extract  niacinamide
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Sun Tan,General,niacinamide + licorice extract + aloe vera,2% + 0.5% + 10%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin",['niacinamide  licorice extract  aloe vera'],niacinamide  licorice extract  aloe vera
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Whiteheads / Blackheads,General,niacinamide + glycolic acid + zinc pca,0.5% + 2% + 3%,"Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin, Controls sebum production",['niacinamide  glycolic acid  zinc pca'],niacinamide  glycolic acid  zinc pca
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Wrinkles,General,hyaluronic acid + peptides + coenzyme q10,8% + 0.5% + 10%,"Hydrates and plumps the skin, Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair",['hyaluronic acid  peptides  coenzyme q'],hyaluronic acid  peptides  coenzyme q
19-24,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,salicylic acid + zinc pca + green tea extract,8% + 10% + 0.5%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits",['salicylic acid  zinc pca  green tea extract'],salicylic acid  zinc pca  green tea extract
19-24,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,salicylic acid + zinc pca + green tea extract,5% + 0.5% + 2%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits",['salicylic acid  zinc pca  green tea extract'],salicylic acid  zinc pca  green tea extract
19-24,Combination,T-Zone Dry Cheeks Oily,No,Acne,Nodular,benzoyl peroxide + green tea extract + niacinamide,5% + 0.5% + 1%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['benzoyl peroxide  green tea extract  niacinamide'],benzoyl peroxide  green tea extract  niacinamide
19-24,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cystic,azelaic acid + niacinamide + zinc pca,2% + 1% + 3%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production",['azelaic acid  niacinamide  zinc pca'],azelaic acid  niacinamide  zinc pca
19-24,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Pigmented,vitamin k + hyaluronic acid + caffeine,2% + 10% + 5%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Reduces puffiness and improves circulation",['vitamin k  hyaluronic acid  caffeine'],vitamin k  hyaluronic acid  caffeine
19-24,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Vascular,niacinamide + caffeine + licorice extract,10% + 3% + 1%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone",['niacinamide  caffeine  licorice extract'],niacinamide  caffeine  licorice extract
